0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900
0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900
0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900
0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900
0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900
0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900
0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900
0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900
0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900
0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900 0.9900
0.9894 0.9888 0.9881 0.9874 0.9868 0.9861 0.9854 0.9848 0.9841 0.9834
0.9828 0.9821 0.9814 0.9808 0.9801 0.9794 0.9788 0.9781 0.9774 0.9768
0.9761 0.9754 0.9748 0.9741 0.9734 0.9728 0.9721 0.9714 0.9708 0.9701
0.9695 0.9688 0.9681 0.9675 0.9668 0.9661 0.9655 0.9648 0.9641 0.9635
0.9628 0.9621 0.9615 0.9608 0.9601 0.9595 0.9588 0.9581 0.9575 0.9568
0.9561 0.9555 0.9548 0.9541 0.9535 0.9528 0.9521 0.9515 0.9508 0.9501
0.9495 0.9488 0.9481 0.9475 0.9468 0.9461 0.9455 0.9448 0.9441 0.9435
0.9428 0.9421 0.9415 0.9408 0.9401 0.9395 0.9388 0.9381 0.9375 0.9368
0.9361 0.9354 0.9348 0.9341 0.9334 0.9327 0.9321 0.9314 0.9307 0.9300
0.9293 0.9286 0.9279 0.9272 0.9265 0.9258 0.9250 0.9243 0.9235 0.9228
0.9220 0.9212 0.9204 0.9195 0.9187 0.9178 0.9168 0.9159 0.9148 0.9137
0.9126 0.9114 0.9100 0.9086 0.9071 0.9054 0.9036 0.9016 0.8994 0.8970
0.8943 0.8913 0.8879 0.8841 0.8799 0.8752 0.8699 0.8639 0.8571 0.8495
0.8410 0.8314 0.8206 0.8086 0.7951 0.7802 0.7637 0.7455 0.7255 0.7037
0.6801 0.6548 0.6277 0.5991 0.5690 0.5379 0.5058 0.4732 0.4403 0.4075
0.3752 0.3436 0.3131 0.2839 0.2563 0.2303 0.2061 0.1838 0.1632 0.1446
0.1276 0.1124 0.0988 0.0866 0.0758 0.0662 0.0577 0.0503 0.0438 0.0380
0.0330 0.0287 0.0249 0.0215 0.0187 0.0162 0.0140 0.0121 0.0105 0.0090
0.0078 0.0068 0.0058 0.0050 0.0044 0.0038 0.0033 0.0028 0.0024 0.0021
0.0018 0.0016 0.0014 0.0012 0.0010 0.0009 0.0008 0.0006 0.0006 0.0005
0.0004 0.0004 0.0003 0.0003 0.0002 0.0002 0.0002 0.0001 0.0001 0.0001
0.0001 0.0001 0.0001 0.0001 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 
